
     Marital status Application mode  Application order  Course Daytime/evening attendance\t  Previous qualification  Previous qualification (grade) Nationality Mother's qualification Father's qualification Mother's occupation Father's occupation  Admission grade  Displaced  Educational special needs  Debtor  Tuition fees up to date  Gender  Scholarship holder  Age at enrollment International  Curricular units 1st sem (credited)  Curricular units 1st sem (enrolled)  Curricular units 1st sem (evaluations)  Curricular units 1st sem (approved)  Curricular units 1st sem (grade)  Curricular units 1st sem (without evaluations)  Curricular units 2nd sem (credited)  Curricular units 2nd sem (enrolled)  Curricular units 2nd sem (evaluations)  Curricular units 2nd sem (approved)  Curricular units 2nd sem (grade)  Curricular units 2nd sem (without evaluations)  Unemployment rate  Inflation rate   GDP   Target 
41       Married           Online             2           9147             Daytime                       1                         133.0               Pakistani                  3               Graduate             Engineer                   7          120.4           1                  0                 0               1               Male           0                 22                No                       0                                    5                                      5                                     5                               14.800000                                    0                                         0                                    5                                      5                                     5                               15.800000                                    0                               8.9               1.4       3.51  Graduate
53       Married           Online             3           9130             Daytime                       1                         167.0               Pakistani           Graduate               Graduate                   90                  90          159.3           0                  0                 0               1               Male           0                 19                No                       0                                    5                                      7                                     5                               14.714286                                    0                                         0                                    5                                      5                                     5                               15.800000                                    0                               7.6               2.6       0.32  Graduate
78       Married           Hybrid             4           9500             Daytime                       1                         150.0               Pakistani           Graduate               Graduate            Home wife        Bussinessman          130.8           0                  0                 0               1             Female           1                 22                No                       0                                    7                                      7                                     7                               14.842857                                    0                                         0                                    8                                      9                                     8                               15.055556                                    0                              16.2               0.3      -0.92  Graduate
129      Married           Hybrid             6           9500             Daytime                       1                         132.0               Pakistani           Graduate               Graduate                    8        Bussinessman          128.0           1                  0                 0               1               Male           0                 19                No                       0                                    7                                      7                                     7                               13.467143                                    0                                         0                                    8                                      9                                     8                               15.011111                                    0                              12.4               0.5       1.79  Graduate
139      Married               18             1           9500             Daytime                       1                         178.0               Pakistani           Graduate               Graduate                    4                   8          174.7           0                  0                 0               1               Male           0                 18                No                       0                                    7                                      8                                     7                               17.125000                                    0                                         0                                    8                                      8                                     8                               17.587500                                    0                              13.9              -0.3       0.79  Graduate
162      Married           Online             2           9500             Daytime                       1                         134.0               Pakistani           Graduate               Graduate            Home wife        Bussinessman          125.8           1                  0                 0               1               Male           0                 18                No                       0                                    7                                      8                                     7                               14.918750                                    0                                         0                                    8                                      8                                     8                               15.355000                                    0                              15.5               2.8      -4.06  Graduate
212      Married               43             1           9130             Daytime                       1                         140.0               Pakistani           Graduate          Undergraduate            Home wife              Lawyer          140.0           1                  0                 0               1               Male           1                 20                No                       0                                    6                                      8                                     6                               15.625000                                    0                                         0                                    6                                      8                                     6                               15.857143                                    0                              13.9              -0.3       0.79  Graduate
225     Divorced                7             1           9991             Evening                      43                         140.0               Pakistani                 40                      5               Lawyer              Lawyer          140.0           0                  0                 0               1               Male           0                 33                No                       2                                    6                                      7                                     6                               15.333333                                    0                                         0                                    5                                      5                                     5                               15.800000                                    0                              11.1               0.6       2.02  Graduate
274      Married           Online             1           9238             Daytime                       1                         152.0               Pakistani           Graduate               Graduate                    4                   5          144.7           0                  0                 0               1               Male           0                 20                No                       0                                    6                                      8                                     6                               14.500000                                    0                                         0                                    6                                      7                                     6                               15.428571                                    0                              16.2               0.3      -0.92  Graduate
275      Married           Hybrid             3           9500             Daytime                       1                         145.0               Pakistani                 12               Graduate                    4                  10          139.8           1                  0                 0               1               Male           0                 18                No                       0                                    7                                      7                                     7                               13.685714                                    0                                         0                                    8                                      8                                     8                               15.387500                                    0                              13.9              -0.3       0.79  Graduate
302      Married           Online             1           9500             Daytime                       1                         160.0               Pakistani           Graduate               Graduate                    4        Bussinessman          154.4           0                  0                 0               1               Male           1                 18                No                       0                                    7                                      9                                     7                               15.116667                                    0                                         0                                    8                                      9                                     8                               16.168889                                    0                              15.5               2.8      -4.06  Graduate
310      Married               51             1           9238             Daytime                       1                         160.0               Pakistani                  3               Graduate             Engineer              Doctor          116.1           0                  0                 1               1               Male           0                 26                No                       0                                    6                                      6                                     6                               14.833333                                    0                                         0                                    6                                      7                                     6                               15.142857                                    0                              11.1               0.6       2.02  Graduate
315      Married           Online             1           9147             Daytime                       1                         153.0               Pakistani           Graduate               Graduate                    4              Lawyer          146.7           0                  0                 0               1               Male           0                 18                No                       0                                    5                                      5                                     5                               16.200000                                    0                                         0                                    5                                      5                                     5                               16.400000                                    0                              11.1               0.6       2.02  Graduate
355      Married           Hybrid             1           9085             Daytime                       1                         133.0               Pakistani           Graduate               Graduate                    4                   5          127.1           1                  0                 0               1               Male           0                 18                No                       0                                    6                                      7                                     6                               15.000000                                    0                                         0                                    6                                      7                                     6                               16.428571                                    0                              11.1               0.6       2.02  Graduate
365      Married           Online             1           9085             Daytime                       1                         133.1               Pakistani           Graduate               Graduate         Bussinessman                   5          106.0           1                  0                 0               1               Male           1                 21                No                       0                                    6                                     13                                     6                               16.153846                                    0                                         0                                    6                                     10                                     6                               15.750000                                    0                              15.5               2.8      -4.06  Graduate
377      Married           Online             1           9500             Daytime                       1                         152.0               Pakistani           Graduate               Graduate                    4                Navy          141.0           1                  0                 0               1               Male           1                 18                No                       0                                    7                                      7                                     7                               15.135714                                    0                                         0                                    8                                      8                                     8                               15.287500                                    0                              12.4               0.5       1.79  Graduate
413      Married                7             1           9991             Evening                      40                         140.0               Pakistani           Graduate               Graduate                    6                   6          140.0           0                  0                 0               1               Male           0                 26                No                       3                                    5                                      5                                     5                               14.000000                                    0                                         1                                    5                                      5                                     5                               15.600000                                    0                              12.4               0.5       1.79  Graduate
415      Married           Online             1           9085             Daytime                       1                         131.0               Pakistani           Graduate               Graduate                   90                  90          137.0           0                  0                 0               1               Male           0                 18                No                       0                                    5                                      5                                     5                               14.000000                                    0                                         0                                    5                                      6                                     5                               15.400000                                    0                               7.6               2.6       0.32  Graduate
440      Married               43             1           9556             Daytime                       1                         147.0               Pakistani                  3                      4               Lawyer              Lawyer          100.0           0                  0                 0               1               Male           0                 18                No                       0                                    2                                      2                                     0                                0.000000                                    0                                         0                                    4                                      4                                     1                               16.000000                                    0                              10.8               1.4       1.74  Enrolled
446      Married           Online             1           9500             Daytime                       1                         128.0               Pakistani                  3               Graduate             Engineer              Doctor          127.8           0                  0                 0               1               Male           1                 19                No                       0                                    7                                      8                                     7                               14.412500                                    0                                         0                                    8                                      8                                     8                               16.050000                                    0                              13.9              -0.3       0.79  Graduate
540      Married        In-Person             1           9500             Daytime                       1                         127.0               Pakistani           Graduate               Graduate               Docter                   5          160.0           0                  0                 0               1             Female           0                 28                No                       0                                    7                                      7                                     7                               14.528571                                    0                                         0                                    8                                     11                                     8                               15.018182                                    0                              16.2               0.3      -0.92  Graduate
543      Married           Online             1           9500             Daytime                       1                         154.0               Pakistani           Graduate               Graduate               Docter              Lawyer          144.9           0                  0                 0               1             Female           1                 18                No                       0                                    7                                      7                                     7                               15.957143                                    0                                         0                                    8                                      9                                     8                               15.188889                                    0                              16.2               0.3      -0.92  Graduate
585      Married           Online             1           9147             Daytime                       1                         143.0               Pakistani           Graduate               Graduate               Lawyer              Lawyer          133.9           0                  0                 0               1               Male           1                 18                No                       0                                    5                                      5                                     5                               15.000000                                    0                                         0                                    5                                      5                                     5                               15.200000                                    0                              12.7               3.7      -1.70  Graduate
602      Married                7             1           9500             Daytime                      40                         170.0               Pakistani           Graduate               Graduate            Home wife                Navy          170.0           0                  0                 0               1               Male           0                 24                No                       4                                    7                                      7                                     7                               16.885714                                    0                                         3                                    8                                      9                                     8                               15.744444                                    0                              16.2               0.3      -0.92  Graduate
604      Married           Online             1           9500             Daytime                       1                         143.0               Pakistani           Graduate               Graduate               Lawyer                   8          128.0           0                  0                 0               1               Male           1                 18                No                       0                                    7                                      9                                     7                               13.055556                                    0                                         0                                    8                                      8                                     8                               15.812500                                    0                              13.9              -0.3       0.79  Graduate
632      Married           Online             1           9500             Daytime                       1                         136.0               Pakistani           Graduate               Graduate               Docter                   7          136.4           0                  0                 0               1               Male           1                 19                No                       0                                    7                                      8                                     7                               12.837500                                    0                                         0                                    8                                      8                                     8                               15.500000                                    0                              13.9              -0.3       0.79  Graduate
650      Married           Hybrid             1           9238             Daytime                       1                         151.0               Pakistani           Graduate               Graduate               Docter                   0          144.4           1                  0                 0               1               Male           0                 18                No                       0                                    6                                      8                                     6                               15.375000                                    0                                         0                                    6                                      7                                     6                               16.428571                                    0                              16.2               0.3      -0.92  Graduate
660      Married               44             1           9003             Daytime                      39                         180.0               Pakistani           Graduate          Undergraduate                    4              Lawyer          180.0           0                  0                 0               1               Male           0                 21                No                       0                                    6                                      6                                     6                               15.833333                                    0                                         0                                    6                                      8                                     6                               15.500000                                    0                              15.5               2.8      -4.06  Graduate
665      Married           Online             1           9085             Daytime                       1                         144.0                      13                  3          Undergraduate                    6                   6          137.6           1                  0                 0               1               Male           1                 19               Yes                       0                                    5                                      6                                     5                               15.400000                                    0                                         0                                    5                                      5                                     5                               16.000000                                    0                              10.8               1.4       1.74  Graduate
694     Divorced        In-Person             1           9130             Daytime                      19                         133.1               Pakistani      Undergraduate               Graduate             Engineer        Bussinessman          157.0           1                  0                 0               1             Female           0                 44                No                       1                                    5                                     13                                     4                               14.000000                                    3                                         1                                    5                                      9                                     4                               15.500000                                    2                              10.8               1.4       1.74  Graduate
699      Married               43             1           9119             Daytime                       1                         140.0               Pakistani           Graduate               Graduate               Docter                   7          146.5           0                  0                 0               1             Female           0                 39                No                       0                                    5                                     10                                     3                               17.333333                                    0                                         0                                    5                                     11                                     1                               17.000000                                    0                              13.9              -0.3       0.79   Dropout
708     Divorced        In-Person             1           9254             Daytime                       1                         120.0               Pakistani           Graduate               Graduate            Home wife        Bussinessman          148.3           0                  0                 0               1             Female           0                 47                No                       6                                   11                                     11                                    11                               14.727273                                    0                                         6                                    9                                      9                                     9                               15.777778                                    0                              10.8               1.4       1.74  Graduate
